0.014559,0.135120,0.037253,0.032934,-0.001297,0.000003,0.000135,0.000037,1544450093,830690,0.020592,4705,15294
-0.085747,0.125421,0.013450,0.102561,-0.002593,0.000027,0.000322,0.000470,1544450093,892931,-0.121282,6597,13402
-0.143368,0.085337,-0.049478,0.152815,-0.003888,0.000097,0.000221,0.001287,1544450093,956832,-0.202784,6946,13053
-0.176360,0.038829,-0.132161,0.176763,-0.005184,0.000247,-0.000346,0.002335,1544450094,21784,-0.249448,7008,12991
-0.192958,-0.007678,-0.222863,0.174555,-0.006479,0.000513,-0.001462,0.003445,1544450094,88054,-0.272924,6994,13005
-0.197812,-0.051631,-0.313791,0.148482,-0.007774,0.000932,-0.003147,0.004461,1544450094,154881,-0.279791,7299,12700
-0.193924,-0.091796,-0.399581,0.101652,-0.009067,0.001547,-0.005382,0.005241,1544450094,222039,-0.274292,7494,12505
-0.183492,-0.127617,-0.476522,0.037446,-0.010358,0.002397,-0.008120,0.005668,1544450094,290551,-0.259536,7598,12401
-0.168171,-0.158834,-0.542165,-0.040758,-0.011648,0.003521,-0.011294,0.005646,1544450094,359101,-0.237866,7625,12374
-0.149309,-0.185391,-0.594952,-0.129700,-0.012935,0.004957,-0.014826,0.005100,1544450094,427611,-0.211186,7589,12410
-0.127959,-0.207415,-0.634049,-0.226334,-0.014219,0.006738,-0.018631,0.003977,1544450094,497167,-0.180989,7502,12497
-0.105024,-0.225088,-0.659154,-0.327878,-0.015499,0.008894,-0.022621,0.002240,1544450094,566709,-0.148549,7122,12877
-0.081226,-0.238682,-0.670486,-0.431835,-0.016775,0.011448,-0.026709,-0.000128,1544450094,635360,-0.114888,6641,13358
-0.057149,-0.248539,-0.668568,-0.536015,-0.018045,0.014421,-0.030810,-0.003132,1544450094,705395,-0.080833,6154,13845
-0.033294,-0.254923,-0.654103,-0.638522,-0.019310,0.017825,-0.034844,-0.006763,1544450094,775397,-0.047092,5672,14327
-0.010042,-0.258211,-0.628066,-0.737729,-0.020567,0.021670,-0.038739,-0.011001,1544450094,846008,-0.014204,5202,14797
0.012303,-0.258752,-0.591522,-0.832302,-0.021816,0.025956,-0.042427,-0.015817,1544450094,916745,0.017402,4751,15248
0.033514,-0.256887,-0.545609,-0.921178,-0.023056,0.030681,-0.045848,-0.021175,1544450094,987116,0.047403,4322,15677
0.053461,-0.252968,-0.491482,-1.003517,-0.024286,0.035837,-0.048952,-0.027034,1544450095,57963,0.075616,3919,16080
0.071964,-0.247268,-0.430331,-1.078714,-0.025505,0.041412,-0.051694,-0.033348,1544450095,129269,0.101788,3545,16454
0.088980,-0.240107,-0.363314,-1.146307,-0.026713,0.047387,-0.054038,-0.040068,1544450095,200693,0.125856,3202,16797
0.104485,-0.231755,-0.291547,-1.206088,-0.027908,0.053741,-0.055954,-0.047144,1544450095,271923,0.147787,2888,17111
